Country/Region	Population
Afghanistan	38928346
Albania	2877797
Algeria	43851044
Andorra	77265
Argentina	45195774
Armenia	2963243
Australia,New South Wales	7.544.000
Australia,Victoria	6.359.000
Australia,Queensland	5.071.000
Australia,South Australia	1.677.000
Australia,Western Australia	2.589.000
Australia,Tasmania	515000
Australia,Northern Territory	244.300
Austria	9006398
Azerbaijan	10139177
Bahrain	1701575
Bangladesh	164689383
Belarus	9449323
Belgium	11589623
Bhutan	771608
Bolivia	11673021
Bosnia and Herzegovina	3280819
Brazil	212559417
Brunei	428697
Bulgaria	6948445
Burkina Faso	20903273
Cambodia	16718965
Cameroon	26545863
Canada,British Columbia	5.071.000
Canada,Ontario	14570000
Canada,Alberta	4.371.000
Canada,Quebec	542298
Canada,New Brunswick	776827
Chile	19116201
China,Hubei	58500000
China,Guangdong	113460000
China,Henan	94023567
China,Zhejiang	54426891
China,Hunan	65683722
China,Anhui	59500510
China,Jiangxi	44567475
China,Shandong	100472400
China,Jiangsu	80400000
China,Chongqing	30480000
China,Sichuan	81100000
China,Heilongjiang	38310000
China,Beijing	21540000
China,Shanghai	24240000
China,Hebei	74700000
China,Fujian	36894216
China,Guangxi	48380000
China,Shaanxi	37330000
China,Yunnan	45966239
China,Hainan	9258000
China,Guizhou	35806468
China,Tianjin	15000000
China,Shanxi	37022111
China,Gansu	25580000
China,Hong Kong	7392000
China,Liaoning	43900000
China,Jilin	27462297
China,Xinjiang	21810000
China,Inner Mongolia	24710000
China,Ningxia	6301000
China,Qinghai	5626722
China,Macau	622567
China,Tibet	3180000
Colombia	50882891
Congo (Kinshasa)	81340000
Costa Rica	5094118
Cote d’Ivoire	24290000
Croatia	4.076.000
Cyprus	1207359
Czechia	10650000
Denmark,Denmark	5792202
Denmark,Faroe Islands	51.783
Dominican Republic	10847910
Ecuador	17643054
Egypt	102334404
Estonia	1326535
Finland	5540720
France,France	65273511
France,St Martin	32125
France,Saint Barthelemy	9131
French Guiana	298682
Georgia	3989167
Germany	83783942
Greece	10423054
Holy See	801
Honduras	9904607
Hungary	9660351
Iceland	341243
India	1380004385
Indonesia	273523615
Iran	83992949
Iraq	40222493
Ireland	4937786
Israel	8655535
Italy	60461826
Jamaica	2961167
Japan	126476461
Jordan	10203134
Korea, South	51269185
Kuwait	4270571
Latvia	1886198
Lebanon	6825445
Liechtenstein	38128
Lithuania	2722289
Luxembourg	625978
Malaysia	32365999
Maldives	540544
Malta	441543
Martinique	375265
Mexico	128932753
Moldova	4033963
Monaco	39242
Mongolia	3278290
Morocco	36910560
Nepal	29136808
Netherlands	17134872
New Zealand	4822233
Nigeria	206139589
North Macedonia	2083374
Norway	5421241
Oman	5106626
Pakistan	220892340
Panama	4314767
Paraguay	7132538
Peru	32971854
Philippines	109581078
Poland	37846611
Portugal	10196709
Qatar	2881053
Reunion	859959
Romania	19237691
Russia	145934462
San Marino	33931
Saudi Arabia	34813871
Senegal	16743927
Serbia	8737371
Singapore	5850342
Slovakia	5459642
Slovenia	2078938
South Africa	59308690
Spain	46754778
Sri Lanka	21413249
Sweden	10099265
Switzerland	8654622
Taiwan*	23816775
Thailand	69799978
Togo	8278724
Tunisia	11818619
Turkey	84339067
Ukraine	43733762
United Arab Emirates	9890402
United Kingdom,Channel Islands	173863
United Kingdom,Gibraltar	33691
United Kingdom,United Kingdom	67886011
US,Washington	7797095
US,New York	19440469
US,California	39937489
US,Massachusetts	6976597
US,Georgia	10736059
US,Colorado	5845526
US,Florida	21992985
US,New Jersey	8936574
US,Oregon	4301089
US,Texas	29472295
US,Illinois	12659682
US,Pennsylvania	12820878
US,Iowa	3179849
US,Maryland	6083116
US,North Carolina	10611862
US,South Carolina	5210095
US,Tennessee	6897576
US,Virginia	8626207
US,Arizona	7378494
US,Indiana	6745354
US,Kentucky	4499692
US,District of Columbia	720687
US,Nevada	3139658
US,New Hampshire	1371246
US,Minnesota	5700671
US,Nebraska	1952570
US,Ohio	11747694
US,Rhode Island	1056161
US,Wisconsin	5851754
US,Connecticut	3563077
US,Hawaii	1412687
US,Oklahoma	3954821
US,Utah	3282115
US,Kansas	2910357
US,Louisiana	4645184
US,Missouri	6169270
US,Vermont	628061
US,Alaska	734002
US,Arkansas	3038999
US,Delaware	982895
US,Idaho	1826156
US,Maine	1345790
US,Michigan	10045029
US,Mississippi	2989260
US,Montana	1086759
US,New Mexico	2096640
US,North Dakota	761723
US,South Dakota	903027
US,West Virginia	1778070
US,Wyoming	567025
Vietnam	97338579
